PROCSFUNCT|STRNUM|INUMBR|ITEMNO|IDESCR|ISTYLN|SNUMBR|GGSKU|IDEPT|ISDEPT|ICLAS|ISCLAS|DEPTNM|SDEPTNM|CLASNM|SCLASNM|MCHNUM|ASNUM|IVNDPN|IUPC|DSPNCD|ISTYPE|GIFTCARD|PHYGCCNTRY|IMFGR|ILCOD|ICUCST|ORIGN|REGPRC|SALPRC|OFFTXT|CA_ORIGN|CA_REGPRC|CA_SALPRC|CA_OFFTXT|BTCCOD|AVLFS|ONORD|SKUSDTW|SKUEDTW|SSNSDTW|SSNEDTW|SSTYLE|IDLGTH|IDWDTH|IDHGHT|IWGHT|IUCOD|SKUORG|SKUORGDES|ECCN|BUYFLAG|ADDTOCART|SALEFLAG|CLEARFLAG|PUBFLAG|BOFLAG|NEWFLAG|NEWARVLFLG|DROPSHPFLG|PRESALEFLG|SOLOSALE|RTLONHAND|RTLONLYFLG|HLDCOD|NAVIGATE|LIVEFLAG|FLAG1|FLAG2|FLAG3|FLAG4|FLAG5|FLAG6|BUYMSG|DUTY|WEBID|IMLAB1|IMLAB2|CA_BUYFLG|CA_SALEFLG|CA_CLRFLG|CA_PUBFLG|CA_BUYMSG|CA_FLAG1|CA_FLAG2|CA_FLAG3|CA_FLAG4|CA_FLAG5|CA_FLAG6|TRNSDT
C|701|2512191|86117703|TB HECK ON WHEELS|6884951|2512189||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4951|703498495166|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|28||20180401|99999999|||TB HECK ON WHEELS|8.0|4.8|1.0|2.300|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100108566|NAVY|3T|Y|N|N|Y|F|||||||
C|701|2512194|86117802|TB GOT DIRT|6884952|2512193||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4952|703498495258|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|24||20180401|99999999|||TB GOT DIRT|8.0|5.0|1.0|2.000|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100108567|TURQUOISE|2T|Y|N|N|Y|F|||||||
C|701|2512198|86117902|TB ROAR|6884950|2512197||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4950|703498495050|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|23||20180401|99999999|||TB ROAR|8.3|5.0|1.0|2.100|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100108572|BLACK|2T|Y|N|N|Y|F|||||||
C|701|2512199|86117903|TB ROAR|6884950|2512197||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4950|703498495067|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|25||20180401|99999999|||TB ROAR|8.0|4.5|1.0|2.400|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100108572|BLACK|3T|Y|N|N|Y|F|||||||
C|701|2512200|86117904|TB ROAR|6884950|2512197||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4950|703498495074|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|17||20180401|99999999|||TB ROAR|8.0|4.3|1.0|2.600|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100108572|BLACK|4T|Y|N|N|Y|F|||||||
N|701|2512428|31600951|ULTRA LIGHT RIPPIN' RAP|52878|2512427||100|133|80|20|FISHING|COLD WATER LURES|ICE|LURES|F03|2613|ULRPR03CH|22677285344|A|01||||V|4.180|5.990|5.990|5.990||6.990|6.990|6.990||BTC0002|||20190428|99999999|||ULTRA LIGHT RIPPIN'RAP|.0|.0|.0|.000|T|EE|ESTONIA|EAR99|N|N|N|N|Y|N|N||N|N|Y|Y|Y||Y|N|Y|N|N||N||E|6.50000|1405290711471|CHROME|1-1/8" 1/16OZ 1|N|N|N|N||||||||
N|701|2512431|31600950|ULTRA LIGHT RIPPIN' RAP|52878|2512427||100|133|80|20|FISHING|COLD WATER LURES|ICE|LURES|F03|2613|ULRPR03CSD|22677285528|A|01||||V|4.180|5.990|5.990|5.990||6.990|6.990|6.990||BTC0002|||20190428|99999999|||ULTRA LIGHT RIPPIN'RAP|.0|.0|.0|.000|T|EE|ESTONIA|EAR99|N|N|N|N|Y|N|N||N|N|Y|Y|Y||Y|N|Y|N|N||N||E|6.50000|1405290711471|CHART SHAD|1-1/8" 1/16OZ 1|N|N|N|N||||||||
N|701|2512436|31600949|ULTRA LIGHT RIPPIN' RAP|52878|2512427||100|133|80|20|FISHING|COLD WATER LURES|ICE|LURES|F03|2613|ULRPR03GT|22677285399|A|01||||V|4.180|5.990|5.990|5.990||6.990|6.990|6.990||BTC0002|||20190428|99999999|||ULTRA LIGHT RIPPIN'RAP|.0|.0|.0|.000|T|EE|ESTONIA|EAR99|N|N|N|N|N|N|N||N|N|Y|N|Y||N|N|Y|N|N||N|||6.50000|1405290711471|GLOW TIGER|1-1/8" 1/16OZ 1|N|N|N|N||||||||
N|701|2512445|31600948|ULTRA LIGHT RIPPIN' RAP|52878|2512427||100|133|80|20|FISHING|COLD WATER LURES|ICE|LURES|F03|2613|ULRPR03PRCL|22677285474|A|01||||V|4.180|5.990|5.990|5.990||6.990|6.990|6.990||BTC0002|||20190428|99999999|||ULTRA LIGHT RIPPIN'RAP|.0|.0|.0|.000|T|EE|ESTONIA|EAR99|N|N|N|N|Y|N|N||N|N|Y|Y|Y||Y|N|Y|N|N||N||E|6.50000|1405290711471|PURPLE CLOWN|1-1/8" 1/16OZ 1|N|N|N|N||||||||
N|701|2512448|31600947|ULTRA LIGHT RIPPIN' RAP|52878|2512427||100|133|80|20|FISHING|COLD WATER LURES|ICE|LURES|F03|2613|ULRPR03RFCW|22677285498|A|01||||V|4.180|5.990|5.990|5.990||6.990|6.990|6.990||BTC0002|||20190428|99999999|||ULTRA LIGHT RIPPIN'RAP|.0|.0|.0|.000|T|EE|ESTONIA|EAR99|N|N|N|N|N|N|N||N|N|Y|N|Y||N|N|Y|N|N||N|||6.50000|1405290711471|REDFIRE CRAWDAD|1-1/8" 1/16OZ 1|N|N|N|N||||||||
N|701|2512450|31600599|ULTRA LIGHT RIPPIN' RAP|52878|2512427||100|133|80|20|FISHING|COLD WATER LURES|ICE|LURES|F03|2613|ULRPR04CSD|22677285580|A|01||||V|4.310|5.990|5.990|5.990||6.990|6.990|6.990||BTC0002|||20190428|99999999|||ULTRA LIGHT RIPPIN'RAP|.0|.0|.0|.000|T|EE|ESTONIA|EAR99|N|N|N|N|Y|N|N||N|N|Y|Y|Y||Y|N|Y|N|N||N||E|6.50000|1405290711471|CHART SHAD|1.5" 3/16OZ 1PK|N|N|N|N||||||||
N|701|2512453|31600598|ULTRA LIGHT RIPPIN' RAP|52878|2512427||100|133|80|20|FISHING|COLD WATER LURES|ICE|LURES|F03|2613|ULRPR04PUTU|22677285603|A|01||||V|4.310|5.990|5.990|5.990||6.990|6.990|6.990||BTC0002|||20190428|99999999|||ULTRA LIGHT RIPPIN'RAP|.0|.0|.0|.000|T|EE|ESTONIA|EAR99|N|N|N|N|Y|N|N||N|N|Y|Y|Y||Y|N|Y|N|N||N||E|6.50000|1405290711471|PURPLE TIGER UV|1.5" 3/16OZ 1PK|N|N|N|N||||||||
C|701|2513816|61406065|ROGUE 0 DEG CANVAS BAG|356-ROGUEPROMO|2540737|1790961|350|356|10|20|CAMPING|SLEEPING BAGS|RECTANGULAR BAGS/SYSTEMS|BELOW 30 DEGREES|C01|218262|28050|92229772943|A|01||||C|28.630|79.990|79.990|79.990||99.990|99.990|99.990||BTC0002|918||20180729|99999999|||ROGUE PROMO|19.0|11.5|11.0|140.000|A|CN|CHINA|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|Y|Y||N||F|6.50000|100109391|GREEN|36" X 80"|Y|Y|N|Y|F|||||||1918
C|701|2513841|86127103|TG SMALL FRY|6884953|2513839||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4953|703498495364|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|26||20180429|99999999|||TG SMALL FRY|7.5|4.5|1.0|2.300|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100111228|BERRY|3T|Y|N|N|Y|F|||||||
C|701|2513842|86127104|TG SMALL FRY|6884953|2513839||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4953|703498495371|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|12||20180429|99999999|||TG SMALL FRY|8.3|4.5|1.0|2.700|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100111228|BERRY|4T|Y|N|N|Y|F|||||||
